Oddil,Kraj
AK ŠKODA Plzeň,Plzeňský
TJ Sokol Hradec Králové,Královéhradecký
Univerzitní sportovní klub Praha,Pražský
TJ Sokol Kolín-atletika,Středočeský
A. C. TEPO Kladno,Středočeský
Atletický klub Olomouc z.s.,Olomoucký
TJ Dukla Praha,Pražský
SK Jeseniova,Pražský
T. J. Sokol České Budějovice,Jihočeský
ASK Dipoli z.s.,Středočeský
"AK Olymp Brno, spolek",Jihomoravský
TJ Sokol Opava,Moravskoslezský
"Atletický klub Ludvíka Daňka Blansko, z.s.",Jihomoravský
"TJ Spartak Třebíč, spolek",Vysočina
Lokomotiva FOSFA Břeclav,Jihomoravský
"PSK Olymp Praha, z.s.",Pražský
"TJ Spartak Čelákovice,z.s.",Středočeský
SK Nové Město nad Metují,Královéhradecký
VSK Univerzita Brno,Jihomoravský
Atletika Jižní Město z.s.,Pražský
"AC Moravská Slavia Brno, spolek",Jihomoravský
AK Slovan Duchcov,Ústecký
Hvězda Pardubice z.s.,Pardubický
"SSK Vítkovice, z.s.",Moravskoslezský
"TJ LIAZ Jablonec n/N., z.s.",Liberecký
"Atletika Chrudim, z.s.",Pardubický
Spartak Praha 4,Pražský
ASK Slavia Praha,Pražský
"Atletický klub Zlín, z.s.",Zlínský
"TJ VS Tábor, z. s.",Jihočeský
"AC Slovan Liberec, z.s.",Liberecký
AC Mladá Boleslav z.s.,Liberecký
Atletika Nový Jičín z. s.,Moravskoslezský
"Atletika Stará Boleslav, z.s.",Středočeský
TJ TŽ Třinec,Moravskoslezský
Atletika Jihlava z.s.,Vysočina
Atletika Poruba z.s.,Moravskoslezský
TJ Lokomotiva Beroun z.s.,Středočeský
TJ Sokol Velké Meziříčí,Vysočina
AK Most,Ústecký
"SKP Nymburk, z.s.",Středočeský
"AC Turnov, z. s.",Liberecký
"Atletika Holešov, z.s.",Zlínský
TJ Jiskra Litomyšl,Pardubický
ASK Lovosice,Ústecký
"TJ Lokomotiva Trutnov, z.s.",Královéhradecký
"TJ Šumperk, z.s.",Olomoucký
"TJ Jiskra Ústí nad Orlicí, z.s.",Pardubický
Atletika Benešov z.s.,Středočeský
TRIATLET Karlovy Vary z.s.,Karlovarský
Orel Vyškov,Jihomoravský
AC Pardubice,Pardubický
SC Radotín Praha,Pražský
"SK Sokol Zlatníky, z.s.",Středočeský
"SK Sporting Příbram, z.s.",Středočeský
"Sportovní kluby Spartak Slatiňany, z.s.",Pardubický
AC Slovácká Slavia Uherské Hradiště,Zlínský
AC Čáslav z.s.,Středočeský
"Atletický klub ISCAREX Česká Třebová, z.s.",Pardubický
"Atletika Slavkov u Brna, z.s.",Jihomoravský
"Atletika Vlašim, z.s.",Středočeský
"TJ Klášterec nad Ohří, z.s.",Ústecký
USK PROVOD Ústí n/L.,Ústecký
"Atletický klub Bohumín, z.s.",Moravskoslezský
Atletika Havířov 1965,Moravskoslezský
TJ Sokol SG Plzeň-Petřín,Plzeňský
"AC Jablonec nad Nisou, z. s.",Liberecký
"AC Domažlice, z. s.",Plzeňský
AK Bílina,Ústecký
SC Start Karlovy Vary,Karlovarský
SKP Union Cheb z.s.,Karlovarský
"TJ Dlouhá Třebová, z.s.",Pardubický
"AC Rumburk, z.s.",Ústecký
KORELA SPORTS TEAM z. s.,Vysočina
TJ Jiskra Otrokovice,Zlínský
TJ Neratovice,Středočeský
"Atletický klub Hošťálkovice, z. s.",Moravskoslezský
"Athletic club Mariánské Lázně, z.s.",Karlovarský
"Atletický klub AHA Vyškov, z. s.",Jihomoravský
MÍLAŘI Domažlice,Plzeňský
SK Aktis Praha z.s.,Pražský
"SK Kotlářka Praha, z.s.",Pražský
Školní atletický klub Slaný,Středočeský
AC Vysoké Mýto z.s.,Pardubický
"Atletický klub Louny, z.s.",Ústecký
TJ Jiskra Humpolec,Vysočina
"TJ Slezan Opava, z.s.",Moravskoslezský
"Atletický oddíl - STŘELA Žebrák, z.s.",Středočeský
"TJ Baník Stříbro, spolek",Plzeňský
AC Sportguides Rožnov pod Radhoštěm z.s.,Zlínský
AK Kroměříž,Zlínský
AK Sokol Nehvizdy,Středočeský
ASK ELNA Počerady,Ústecký
"Atletický klub Krupka, z.s.",Ústecký
TJ Nové Město na Moravě z.s.,Vysočina
Atletický klub Šternberk z.s.,Olomoucký
TJ Slavoj BANES Pacov,Vysočina
"TJ VTŽ CHOMUTOV,z.s.",Ústecký
"TJ Svitavy, z. s.",Pardubický
Atletický klub Emila Zátopka Kopřivnice,Moravskoslezský
JAC Brno,Jihomoravský
TJ Sokol Praha Královské Vinohrady,Pražský
"Tělovýchovná jednota Slezan Frýdek-Místek, z.s.",Moravskoslezský
"Atletický klub Hodonín,z.s.",Jihomoravský
SK Čtyři Dvory České Budějovice,Jihočeský
"TJ Nová Včelnice, z.s.",Jihočeský
Atletika Klatovy z.s.,Plzeňský
"TJ Znojmo, z.s.",Jihomoravský
Athletic Club Ústí n/L. z.s.,Ústecký
Sportovní klub Přerov 1908 z.s.,Olomoucký
TJ Sokol Milevsko,Jihočeský
AC Čejkovice,Jihomoravský
"AC TJ Jičín, z. s.",Liberecký
"SK Hranice, z.s.",Olomoucký
TJ Jiskra Havlíčkův Brod,Vysočina
A. C. Sparta Praha,Pražský
"Atletika Stodůlky, z.s.",Pražský
"TJ Slavoj Český Brod, z.s.",Středočeský
Fénix sport Blansko,Jihomoravský
SK ANTE Žďár nad Sázavou,Vysočina
TJ Spartak Hořovice,Středočeský
"Atletický klub Sokolov, spolek",Karlovarský
"Aktiv Sport Horšovský Týn, z.s.",Plzeňský
"ATLETIKA Polička, spolek",Pardubický
TJ Jiskra Nový Bor,Liberecký
ROAD2KONA,Pražský
"Atletika Ostrov, z.s.",Karlovarský
"Atletický klub Kuřim, z.s.",Jihomoravský
TJ Jiskra Zruč nad Sázavou z.s.,Středočeský
"TJ Sušice, z.s.",Plzeňský
TJ Lokomotiva Veselí nad Lužnicí z.s.,Jihočeský
Atletika Čelákovice z.s.,Středočeský
Tělocvičná jednota Sokol I. Smíchov,Pražský
TJ Velká nad Veličkou,Jihomoravský
"SK Vrchlabí, z. s.",Královéhradecký
"Atletický klub Prostějov, z. s.",Olomoucký
"Sportovní klub LS Kladno, z. s.",Středočeský
